label,bit,carton_pk,SDSSC2VB,program,version,v1,name,mapper,alt_program,alt_name
mwm_bin_rv_short_mdwarf_apogee_08epoch_1.0.39,379,1569,1,mwm_bin,1.0.39,10.39,mwm_bin_rv_short_mdwarf_apogee_08epoch,mwm,bin,mwm_bin_rv_short_mdwarf
mwm_bin_rv_short_subgiant_apogee_1.0.39,380,1570,1,mwm_bin,1.0.39,10.39,mwm_bin_rv_short_subgiant_apogee,mwm,bin,mwm_bin_rv_short_subgiant
mwm_bin_rv_short_rgb_apogee_1.0.39,381,1571,1,mwm_bin,1.0.39,10.39,mwm_bin_rv_short_rgb_apogee,mwm,bin,mwm_bin_rv_short_rgb
mwm_halo_distant_rrl_boss_single_1.0.39,382,1572,1,mwm_halo,1.0.39,10.39,mwm_halo_distant_rrl_boss_single,mwm,halo,mwm_halo_distant_rrl
mwm_halo_distant_rrl_boss_1.0.39,383,1573,1,mwm_halo,1.0.39,10.39,mwm_halo_distant_rrl_boss,mwm,halo,mwm_halo_distant_rrl
mwm_halo_vmp_xp_boss_single_1.0.39,384,1574,1,mwm_halo,1.0.39,10.39,mwm_halo_vmp_xp_boss_single,mwm,halo,mwm_halo_mp_xp
mwm_halo_nmp_xp_boss_single_1.0.39,385,1576,1,mwm_halo,1.0.39,10.39,mwm_halo_nmp_xp_boss_single,mwm,halo,mwm_halo_mp_xp
mwm_halo_vmp_xp_apogee_single_1.0.39,386,1577,1,mwm_halo,1.0.39,10.39,mwm_halo_vmp_xp_apogee_single,mwm,halo,mwm_halo_mp_xp
mwm_halo_mp_xp_apogee_single_1.0.39,387,1578,1,mwm_halo,1.0.39,10.39,mwm_halo_mp_xp_apogee_single,mwm,halo,mwm_halo_mp_xp
mwm_halo_nmp_xp_apogee_single_1.0.39,388,1579,1,mwm_halo,1.0.39,10.39,mwm_halo_nmp_xp_apogee_single,mwm,halo,mwm_halo_mp_xp
mwm_halo_vmp_xp_boss_1.0.39,389,1580,1,mwm_halo,1.0.39,10.39,mwm_halo_vmp_xp_boss,mwm,halo,mwm_halo_mp_xp
mwm_halo_mp_xp_boss_1.0.39,390,1581,1,mwm_halo,1.0.39,10.39,mwm_halo_mp_xp_boss,mwm,halo,mwm_halo_mp_xp
mwm_halo_nmp_xp_boss_1.0.39,391,1582,1,mwm_halo,1.0.39,10.39,mwm_halo_nmp_xp_boss,mwm,halo,mwm_halo_mp_xp
mwm_halo_vmp_xp_apogee_1.0.39,392,1583,1,mwm_halo,1.0.39,10.39,mwm_halo_vmp_xp_apogee,mwm,halo,mwm_halo_mp_xp
mwm_halo_mp_xp_apogee_1.0.39,393,1584,1,mwm_halo,1.0.39,10.39,mwm_halo_mp_xp_apogee,mwm,halo,mwm_halo_mp_xp
mwm_halo_nmp_xp_apogee_1.0.39,394,1585,1,mwm_halo,1.0.39,10.39,mwm_halo_nmp_xp_apogee,mwm,halo,mwm_halo_mp_xp
mwm_halo_local_high_apogee_single_1.0.39,395,1586,1,mwm_halo,1.0.39,10.39,mwm_halo_local_high_apogee_single,mwm,halo,mwm_halo_local
mwm_halo_local_high_boss_single_1.0.39,396,1587,1,mwm_halo,1.0.39,10.39,mwm_halo_local_high_boss_single,mwm,halo,mwm_halo_local
mwm_halo_local_low_apogee_single_1.0.39,397,1588,1,mwm_halo,1.0.39,10.39,mwm_halo_local_low_apogee_single,mwm,halo,mwm_halo_local
mwm_halo_local_low_boss_single_1.0.39,398,1589,1,mwm_halo,1.0.39,10.39,mwm_halo_local_low_boss_single,mwm,halo,mwm_halo_local
mwm_halo_local_high_apogee_1.0.39,399,1590,1,mwm_halo,1.0.39,10.39,mwm_halo_local_high_apogee,mwm,halo,mwm_halo_local
mwm_halo_local_high_boss_1.0.39,400,1591,1,mwm_halo,1.0.39,10.39,mwm_halo_local_high_boss,mwm,halo,mwm_halo_local
mwm_halo_local_low_apogee_1.0.39,401,1592,1,mwm_halo,1.0.39,10.39,mwm_halo_local_low_apogee,mwm,halo,mwm_halo_local
mwm_halo_local_low_boss_1.0.39,402,1593,1,mwm_halo,1.0.39,10.39,mwm_halo_local_low_boss,mwm,halo,mwm_halo_local
mwm_erosita_stars_boss_1.0.40,403,1594,1,mwm_erosita,1.0.40,10.4,mwm_erosita_stars_boss,mwm,erosita,mwm_erosita_stars
mwm_erosita_compact_boss_1.0.40,404,1595,1,mwm_erosita,1.0.40,10.4,mwm_erosita_compact_boss,mwm,erosita,mwm_erosita_compact
mwm_erosita_compact_boss_shallow_1.0.40,405,1596,1,mwm_erosita,1.0.40,10.4,mwm_erosita_compact_boss_shallow,mwm,erosita,mwm_erosita_compact
mwm_halo_mp_xp_boss_single_1.0.41,406,1597,1,mwm_halo,1.0.41,10.41,mwm_halo_mp_xp_boss_single,mwm,halo,mwm_halo_mp_xp
mwm_snc_ext_main_apogee_1.0.41,407,1598,1,mwm_snc,1.0.41,10.41,mwm_snc_ext_main_apogee,mwm,snc,mwm_snc
mwm_snc_ext_filler_apogee_1.0.41,408,1599,1,mwm_snc,1.0.41,10.41,mwm_snc_ext_filler_apogee,mwm,snc,mwm_snc
mwm_snc_ext_main_boss_1.0.41,409,1600,1,mwm_snc,1.0.41,10.41,mwm_snc_ext_main_boss,mwm,snc,mwm_snc
